,𠊎話著 行出家門以後,Ngai vā dó hang chud gàmun rhìhēu,
,一路上个ge風景 都會無共樣,Rhid lū shòng gě fùnggín dū ǒi mo kiūngrhōng,
,𠊎話著 背等吉他滿哪位vi走,<div class='sidenote'><i>vī</i></div>Ngai vā dó ba dén gidtà màn nāivūi zéu,
,<i>ia</i> 假使三餐毋食 也rha毋會枵著,<div class='sidenote'><i>iā</i></div>Gásíi sàm còn m shìd rhā m vōi iàu dó,
,,,
,想像中个路 緊行緊遠 𠊎緊行緊遠,Sióngsiǒng zhùng gǎi lū gín hang gín rhán ngai gín hang gín rhán,
,頭擺个朋友 緊行緊遠 𠊎緊行緊遠,Teubái gǎi penrhiù gín hang gín rhán ngai gín hang gín rhán,
,,,
,該日𠊎又夢到 高中該兜孤盲仔,Gai ngid ngai rhiū mūng dǒ gòzhùng gai dèu gòmòer,
,打紙炮打到 教官全部都來哩,Dá zhípǎu dá dǒ gǎugòn cionpū dū loi lè,
,隔壁个細妹 講愛到臺北做明星,Gagbiag gǎi sěmǒi góng ǒi dǒ Toibed zǒ minsèn,
,,,
,𠊎想跈等姖个路行 嗄離麼个都dǔ緊來緊遠,Ngai sióng ten dén gi gǎi lū hang sǎ li mágǎi dū gín loi gín rhán,
,,,
,* 緊行緊遠 緊行緊遠 𠊎緊行緊遠,* Gín hang gín rhán gín hang gín rhán ngai gín hang gín rhán,
,緊行緊遠 緊行緊遠 𠊎緊行緊遠,Gín hang gín rhán gín hang gín rhán ngai gín hang gín rhán,
,想像中个路 緊行緊遠 𠊎緊行緊遠,Sióngsiǒng zhùng gǎi lū gín hang gín rhán ngai gín hang gín rhán,
,"<div class='sidenote'>""客家的卡夫卡""專輯中 live 演唱時這句和前句順序顛倒</div>頭擺个ge朋友 緊行緊遠 𠊎緊行緊遠 *",Teubái gǎi penrhiù gín hang gín rhán ngai gín hang gín rhán *,
,,,
,𠊎話著 這隻年歲以後,Ngai vā dó liá zhag ngiensǒi rhìhēu,
,人生肚个風景 都會無共樣,Nginsèn dú gǎi fùnggín dù vōi mo kiūngrhōng,
,𠊎話著 背等吉他滿哪位vi走,<div class='sidenote'><i>vī</i></div>Ngai vā dó ba dén gidtà màn nāivūi zéu,
,假使三餐毋食 也毋會枵著,<div class='sidenote'><i>iā</i></div>Gásíi sàm còn m shìd rhā m vōi iàu dó,
,,,
,*,*,
